num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,sort
3196,-0.4999,-0.5011,0.638,0.656,-0.059,-0.043,0.0188,0.0196,-0.0397,-0.0348,-0.0144,-0.0037,0.042,0.0411,-0.0091,-0.0133,0.0437,0.0337,0.0169,0.0311,0.0425,0.0506,0.0019,-0.0075,-0.0065,0.0015,0.0096,0.009,2
3197,-0.5004,-0.5007,0.6628,0.6595,-0.0504,-0.0399,0.0117,0.0224,-0.0371,-0.0492,-0.0135,-0.0034,0.047,0.0398,-0.0099,-0.0116,0.0393,0.0318,0.0183,0.0327,0.058,0.0489,-0.0003,-0.0059,-0.0051,0.0062,0.0096,0.0087,2
3198,-0.4999,-0.5011,0.6784,0.6519,-0.0491,-0.0415,0.0181,0.0247,-0.0401,-0.0447,-0.0106,-0.0036,0.0463,0.0358,-0.0083,-0.0161,0.042,0.0261,0.0198,0.0374,0.0503,0.0506,-0.0006,-0.0034,-0.0059,0.0063,0.0091,0.009,2
3199,-0.4994,-0.5015,0.678,0.6559,-0.0508,-0.0424,0.0164,0.0262,-0.0411,-0.0502,-0.0161,-0.0018,0.0424,0.0388,-0.0102,-0.0141,0.0383,0.0228,0.0188,0.0307,0.0451,0.0489,0.0039,-0.0088,-0.0052,0.0044,0.0082,0.009,2
3200,-0.4996,-0.5013,0.6745,0.6594,-0.0526,-0.0414,0.016,0.0206,-0.0378,-0.0398,-0.0175,-0.0026,0.0416,0.0421,-0.0086,-0.0217,0.0438,0.0229,0.019,0.0307,0.0492,0.0512,0.0004,-0.005,-0.0055,0.0056,0.0111,0.0085,2
3201,-0.5002,-0.5006,0.6872,0.6572,-0.0563,-0.0393,0.0143,0.0212,-0.038,-0.0515,-0.0168,-0.001,0.0475,0.0402,-0.0065,-0.0144,0.0414,0.0324,0.0199,0.0255,0.0476,0.0499,-0.0043,-0.0031,-0.0051,0.0069,0.0057,0.0081,2
3202,-0.4999,-0.5009,0.688,0.6609,-0.0552,-0.0405,0.0197,0.0259,-0.0378,-0.0495,-0.0145,-0.0021,0.0433,0.0407,-0.009,-0.0154,0.0396,0.0307,0.0179,0.0304,0.0542,0.0505,0.0012,-0.0022,-0.0047,0.0036,0.0099,0.0083,2
3203,-0.4996,-0.5018,0.6694,0.6547,-0.0529,-0.0432,0.0174,0.0195,-0.0383,-0.0476,-0.0152,-0.0029,0.0425,0.0408,-0.012,-0.0159,0.0402,0.0329,0.0182,0.0261,0.0519,0.0485,-0.0018,-0.0045,-0.0037,-0.0001,0.0106,0.0087,2
3204,-0.5,-0.5014,0.6871,0.6563,-0.0539,-0.042,0.0168,0.0223,-0.0429,-0.0475,-0.0157,-0.0039,0.0433,0.042,-0.0095,-0.0196,0.0394,0.032,0.0187,0.0341,0.0494,0.0519,0.0013,-0.0067,-0.0049,0.0039,0.0105,0.0081,2
3205,-0.5002,-0.5007,0.6267,0.6576,-0.0511,-0.0411,0.0096,0.0184,-0.0367,-0.0473,-0.0166,-0.0023,0.0419,0.0436,-0.0113,-0.0185,0.0383,0.0321,0.0205,0.0295,0.0472,0.0532,-0.0024,-0.0088,-0.006,0.0023,0.009,0.008,2
3206,-0.5001,-0.5011,0.672,0.6609,-0.0508,-0.0424,0.0171,0.019,-0.0413,-0.0444,-0.0152,-0.0043,0.043,0.0366,-0.0107,-0.0132,0.0414,0.0287,0.0175,0.0324,0.0526,0.0522,0.0011,-0.0061,-0.0066,0.0052,0.0092,0.0086,2
3207,-0.4993,-0.5013,0.6793,0.6509,-0.055,-0.0408,0.0212,0.0228,-0.0432,-0.049,-0.0164,-0.0027,0.0408,0.0394,-0.0092,-0.0159,0.0408,0.0285,0.0204,0.0317,0.0487,0.0514,-0.002,-0.004,-0.006,0.0006,0.0113,0.0072,2
